Date,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2000-01-01,6.843847274780273,11.181808471679688,17.036989212036133,18.81256103515625,12.397276878356934,5.550708293914795,20.314237594604492,10.069477081298828
2000-02-01,6.55411958694458,9.984843254089355,16.09701919555664,20.789169311523438,10.946614265441895,4.876090049743652,18.98596954345703,9.508450508117676
2000-03-01,7.3450026512146,11.765148162841797,18.300077438354492,22.533222198486328,11.321785926818848,5.368717193603516,20.69374656677246,10.832926750183105
2000-04-01,7.259612560272217,11.922367095947266,18.602746963500977,20.463605880737305,11.96033000946045,5.76278829574585,20.4512939453125,10.628050804138184
2000-05-01,8.112068176269531,12.188494682312012,18.524253845214844,18.33586311340332,12.813446044921875,5.750141143798828,19.90311050415039,10.05434799194336
2000-06-01,7.628878116607666,11.557400703430176,17.758955001831055,20.161306381225586,13.507641792297363,5.51305627822876,19.945268630981445,9.492233276367188
2000-07-01,7.373669624328613,12.619731903076172,18.070953369140625,19.091611862182617,13.044249534606934,5.6408233642578125,19.650104522705078,9.661348342895508
2000-08-01,8.178934097290039,13.90153694152832,19.860353469848633,21.03333282470703,12.884955406188965,5.860594749450684,20.345861434936523,9.260729789733887
2000-09-01,8.27761173248291,14.160947799682617,19.231124877929688,17.254552841186523,13.404716491699219,6.580430030822754,19.607933044433594,9.249117851257324
2000-10-01,8.087431907653809,14.081308364868164,19.71735954284668,16.266246795654297,14.389779090881348,7.0204176902771,19.90311050415039,9.15566349029541
2000-11-01,7.663236141204834,13.361933708190918,19.046958923339844,12.929277420043945,14.886265754699707,7.017204284667969,18.089902877807617,8.928664207458496
2000-12-01,8.420440673828125,14.44864559173584,19.71735954284668,11.65030288696289,15.382763862609863,6.821298122406006,18.38507843017578,9.533997535705566
2001-01-01,8.17650032043457,14.467673301696777,19.875459671020508,13.878046989440918,14.302923202514648,6.53196907043457,19.717756271362305,10.669333457946777
2001-02-01,8.077251434326172,13.494311332702637,18.684335708618164,10.42155647277832,14.389344215393066,6.667533874511719,19.33987045288086,9.907508850097656
2001-03-01,7.812591075897217,13.046967506408691,16.846952438354492,9.227229118347168,13.352279663085938,6.525715351104736,18.098224639892578,9.743189811706543
2001-04-01,8.645440101623535,13.563624382019043,18.826519012451172,10.719210624694824,13.651372909545898,6.889100551605225,19.437883377075195,10.215816497802734
2001-05-01,8.563755989074707,14.160426139831543,19.6143856048584,10.280166625976562,13.851807594299316,6.937410831451416,20.1803035736084,10.459056854248047
2001-06-01,7.746945858001709,14.007525444030762,18.3626766204834,10.481084823608398,13.169239044189453,6.542545795440674,19.944076538085938,10.354278564453125
2001-07-01,7.693572044372559,13.925421714782715,18.3642578125,9.755560874938965,13.613266944885254,6.53009033203125,19.553966522216797,10.837963104248047
2001-08-01,7.367880344390869,13.004654884338379,17.733854293823242,8.56495475769043,13.678484916687012,6.297403812408447,18.561412811279297,9.889176368713379
2001-09-01,6.621603488922119,12.217541694641113,15.072192192077637,7.1622633934021,13.618700981140137,6.189521789550781,15.867345809936523,8.614119529724121
2001-10-01,6.927058696746826,12.097874641418457,15.404080390930176,7.943595886230469,13.5747652053833,5.908939361572266,15.954919815063477,9.095149993896484
2001-11-01,6.540216445922852,12.883502960205078,16.945125579833984,9.130488395690918,14.174455642700195,5.834329128265381,17.805747985839844,10.306326866149902
2001-12-01,6.885788440704346,13.077430725097656,17.712451934814453,8.929571151733398,13.847345352172852,5.9750213623046875,18.20427703857422,10.757702827453613
2002-01-01,6.668158531188965,12.98462963104248,16.59343147277832,8.832837104797363,13.803216934204102,5.804340839385986,18.101215362548828,11.128717422485352
2002-02-01,6.896039962768555,12.759895324707031,17.00907325744629,7.683155059814453,14.093181610107422,5.7935967445373535,18.933523178100586,11.188998222351074
2002-03-01,7.4812822341918945,13.558950424194336,17.418304443359375,8.062664031982422,14.279195785522461,6.053526878356934,20.022977828979492,11.317087173461914
2002-04-01,7.236282825469971,13.258354187011719,16.263574600219727,7.087847709655762,13.788236618041992,5.732212066650391,19.91006851196289,11.014490127563477
2002-05-01,7.10896635055542,13.218274116516113,16.334115982055664,6.793916702270508,13.634610176086426,5.6845703125,20.18763542175293,10.957913398742676
2002-06-01,6.807563304901123,12.596943855285645,15.295197486877441,5.8860764503479,12.208048820495605,5.251458644866943,18.7388973236084,10.361921310424805
2002-07-01,5.899724960327148,11.600994110107422,14.464456558227539,5.327978134155273,11.722418785095215,4.521658420562744,18.201871871948242,9.141254425048828
2002-08-01,5.988597393035889,11.817418098449707,14.23945140838623,5.283329963684082,11.815975189208984,4.7009501457214355,18.377941131591797,9.417119026184082
2002-09-01,5.531152248382568,10.403148651123047,12.548727989196777,4.401536464691162,10.891395568847656,4.082173824310303,17.186134338378906,8.566861152648926
2002-10-01,5.6637773513793945,11.415521621704102,13.215738296508789,5.491688251495361,11.388386726379395,4.036752700805664,18.244857788085938,9.156481742858887
2002-11-01,5.897685527801514,11.840572357177734,13.906203269958496,6.362320899963379,11.072656631469727,4.154050350189209,18.808639526367188,9.580257415771484
2002-12-01,5.868775367736816,11.132158279418945,13.286721229553223,5.506569862365723,11.04495620727539,4.2381486892700195,18.03428840637207,8.744063377380371
